time,sender_id,telephone_number_type,original_network_name,original_network_country,text,translation,language,url_shortener,named_entity,scam_type,lure_principles
2023-05-19,phone number,BAD_FORMAT,,,"Desculpe, nao conseguimos encontra-lo hoje (<DATE_TIME>). Como nao havia ninguém em casa, <NAMED_ENTITY> sua entrega aqui. <URL>","Sorry, we couldn't find you <DATE_TIME> (<DATE_TIME>). As no one was at home, you must reschedule your delivery here. <URL>",Portuguese,,,delivery,"distraction,time/urgency"
2023-05-06,phone number,MOBILE,KPN Mobile The Netherlands B.V.,NLD,"Uw openstaande schuld van EURO 429,00 met kenmerk: <PHONE_NUMBER> is ondanks meerdere herinneringen <NAMED_ENTITY>. Op 6 mei 2023 <NAMED_ENTITY> conservatoir beslag. Betaal nu","Your outstanding debt of EURO 429.00 with reference: <PHONE_NUMBER> has not yet been paid despite multiple reminders. On <DATE_TIME>, the bailiff will proceed with protective attachment. Pay now",Dutch,,,others,"authority,time/urgency"
2023-05-02,phone number,BAD_FORMAT,,,"Tentamos entregar a sua encomenda hoje dia <DATE_TIME>. Como nao <NAMED_ENTITY> em casa, <NAMED_ENTITY> <URL>","We tried to deliver your package <DATE_TIME> on <DATE_TIME>. Since no one was home, you must reschedule here <URL>",Portuguese,,,delivery,time/urgency
2023-04-07,phone number,MOBILE,Movistar,ESP,"Correos Express, su paquete sigue retenido en aduanas por impago de las tasas (1,99€) puede pagarlos en el siguiente enlace: <URL> v4ApD16","Correos Express, your package is still held up in customs due to unpaid fees (€1.99) you can pay them at the following link: <URL> v4ApD16",Spanish,cutt.ly,Correos,delivery,"authority,time/urgency"
2023-03-23,phone number,LANDLINE,Telcentris Communications,USA,"I'm sorry to bother you, I read your profile on linkedin and I'd love to learn from industry stalwarts like you from each other",,English,,,wrong number,
2023-03-23,phone number,MOBILE,SFR,FRA,"Un paiement en retard de 35,00 € est enregistré dans votre dossier sous la référence n° <PHONE_NUMBER>.",A late payment of 35.00 € is recorded in your file under reference No. <DATE_TIME>.,French,,,others,time/urgency
2023-03-08,phone number,MOBILE,movistar,CHL,<NAMED_ENTITY> numero no guardado. Cuidese de los fraudes de suplantacion de identidad por llamada de voz y mensaje de,This message is from an unsaved number. Beware of identity impersonation fraud through voice call and message,Spanish,,,others,distraction
2023-03-04,phone number,BAD_FORMAT,,,FRM:<US_DRIVER_LICENSE> SUBJ:-<US_DRIVER_LICENSE> MSG: -<US_DRIVER_LICENSE>.WellsFARGO.  <URL>,,English,,wells fargo,banking,authority
2023-03-04,email,,,,Your Amazon Account has been locked. We recently received multiple failed login attempts to your account.  Recovery your account immediately click link bellow: <URL>,,English,,Amazon,others,"authority,time/urgency"
2023-01-18,phone number,MOBILE,Bell Mobility,CAN,You have a parcel pending for delivery.,,English,,,delivery,
